Make,Model,Year,Trim,MSRP,Invoice_Price,Used/New_Price,Body_Size,Body_Style,Cylinders,Engine_Aspiration,Drivetrain,Transmission,Horsepower,Torque,Highway_Fuel_Economy
Ford,Bronco,2023,Badlands,47385,45727,47385,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,17 mpg
Ford,Bronco,2023,Badlands,45095,43517,45095,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,17 mpg
Ford,Bronco,2023,Base,32295,31811,32295,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Base w/Advanced 4x4,33090,32594,33090,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Base,36445,35898,36445,Midsize,Convertible SUV,I4,Turbocharged,4WD,automatic,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Base w/Advanced 4x4,37240,36682,37240,Midsize,Convertible SUV,I4,Turbocharged,4WD,automatic,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,18 mpg
Ford,Bronco,2023,Big Bend,36285,35378,36285,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Big Bend w/Advanced 4x4,37080,36153,37080,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Big Bend w/Advanced 4x4,39070,38093,39070,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Big Bend,38275,37319,38275,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,21 mpg
Ford,Bronco,2023,Black Diamond w/Advanced 4x4,41735,40275,41735,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,19 mpg
Ford,Bronco,2023,Black Diamond w/Advanced 4x4,39745,38354,39745,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,19 mpg
Ford,Bronco,2023,Black Diamond,38950,37587,38950,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300 hp @ 5700 rpm,325 ft-lbs. @ 3400 rpm,19 mpg
